Date,Centre_Name,Commodity_Name,Price
01-01-09,CHANDIGARH,Potato,NA
01-01-09,DELHI,Potato,212
01-01-09,SHIMLA,Potato,NA
01-01-09,SRINAGAR,Potato,NA
01-01-09,JAMMU,Potato,NA
01-01-09,AMRITSAR,Potato,375
01-01-09,LUDHIANA,Potato,300
01-01-09,LUCKNOW,Potato,NA
01-01-09,DEHRADUN,Potato,NA
01-01-09,RAIPUR,Potato,NA
01-01-09,AHMEDABAD,Potato,NA
01-01-09,BHOPAL,Potato,350
01-01-09,MUMBAI,Potato,NA
01-01-09,JAIPUR,Potato,170
01-01-09,PATNA,Potato,NA
01-01-09,RANCHI,Potato,NA
01-01-09,BHUBANESHWAR,Potato,330
01-01-09,KOLKATA,Potato,NA
01-01-09,GUWAHATI,Potato,NA
01-01-09,SHILLONG,Potato,NA
01-01-09,AIZWAL,Potato,NA
01-01-09,KOHIMA,Potato,NA
01-01-09,AGARTALA,Potato,NA
01-01-09,BENGALURU,Potato,800
01-01-09,T.PURAM,Potato,NA
01-01-09,CHENNAI,Potato,NA
01-01-09,HYDERABAD,Potato,NA
02-01-09,CHANDIGARH,Potato,NA
02-01-09,DELHI,Potato,NA
02-01-09,SHIMLA,Potato,NA
02-01-09,SRINAGAR,Potato,NA
02-01-09,JAMMU,Potato,NA
02-01-09,AMRITSAR,Potato,375
02-01-09,LUDHIANA,Potato,300
02-01-09,LUCKNOW,Potato,NA
02-01-09,DEHRADUN,Potato,NA
02-01-09,RAIPUR,Potato,NA
02-01-09,AHMEDABAD,Potato,NA
02-01-09,BHOPAL,Potato,NA
02-01-09,MUMBAI,Potato,NA
02-01-09,JAIPUR,Potato,170
02-01-09,PATNA,Potato,NA
02-01-09,RANCHI,Potato,NA
02-01-09,BHUBANESHWAR,Potato,330
02-01-09,KOLKATA,Potato,NA
02-01-09,GUWAHATI,Potato,NA
02-01-09,SHILLONG,Potato,NA
02-01-09,AIZWAL,Potato,NA
02-01-09,KOHIMA,Potato,NA
02-01-09,AGARTALA,Potato,NA
02-01-09,BENGALURU,Potato,800
02-01-09,T.PURAM,Potato,NA
02-01-09,CHENNAI,Potato,800
02-01-09,HYDERABAD,Potato,NA
05-01-09,CHANDIGARH,Potato,NA
05-01-09,DELHI,Potato,250
05-01-09,SHIMLA,Potato,NA
05-01-09,SRINAGAR,Potato,NA
05-01-09,JAMMU,Potato,NA
05-01-09,AMRITSAR,Potato,300
05-01-09,LUDHIANA,Potato,400
05-01-09,LUCKNOW,Potato,NA
05-01-09,DEHRADUN,Potato,NA
05-01-09,RAIPUR,Potato,NA
05-01-09,AHMEDABAD,Potato,NA
05-01-09,BHOPAL,Potato,NA
05-01-09,MUMBAI,Potato,NA
05-01-09,JAIPUR,Potato,NA
05-01-09,PATNA,Potato,NA
05-01-09,RANCHI,Potato,NA
05-01-09,BHUBANESHWAR,Potato,330
05-01-09,KOLKATA,Potato,NA
05-01-09,GUWAHATI,Potato,NA
05-01-09,SHILLONG,Potato,NA
05-01-09,AIZWAL,Potato,NA
05-01-09,KOHIMA,Potato,NA
05-01-09,AGARTALA,Potato,NA
05-01-09,BENGALURU,Potato,NA
05-01-09,T.PURAM,Potato,NA
05-01-09,CHENNAI,Potato,900
05-01-09,HYDERABAD,Potato,NA
06-01-09,CHANDIGARH,Potato,NA
06-01-09,DELHI,Potato,275
06-01-09,SHIMLA,Potato,NA
06-01-09,SRINAGAR,Potato,NA
06-01-09,JAMMU,Potato,NA
06-01-09,AMRITSAR,Potato,300
06-01-09,LUDHIANA,Potato,400
06-01-09,LUCKNOW,Potato,NA
06-01-09,DEHRADUN,Potato,NA
06-01-09,RAIPUR,Potato,NA
06-01-09,AHMEDABAD,Potato,NA
06-01-09,BHOPAL,Potato,NA
06-01-09,MUMBAI,Potato,NA
06-01-09,JAIPUR,Potato,NA
06-01-09,PATNA,Potato,NA
06-01-09,RANCHI,Potato,NA
06-01-09,BHUBANESHWAR,Potato,330
06-01-09,KOLKATA,Potato,NA
06-01-09,GUWAHATI,Potato,NA
06-01-09,SHILLONG,Potato,NA
06-01-09,AIZWAL,Potato,NA
06-01-09,KOHIMA,Potato,NA
06-01-09,AGARTALA,Potato,NA
06-01-09,BENGALURU,Potato,800
06-01-09,T.PURAM,Potato,NA
06-01-09,CHENNAI,Potato,900
06-01-09,HYDERABAD,Potato,NA
07-01-09,CHANDIGARH,Potato,NA
07-01-09,DELHI,Potato,312
07-01-09,SHIMLA,Potato,NA
07-01-09,SRINAGAR,Potato,NA
07-01-09,JAMMU,Potato,NA
07-01-09,AMRITSAR,Potato,300
07-01-09,LUDHIANA,Potato,400
07-01-09,LUCKNOW,Potato,NA
07-01-09,DEHRADUN,Potato,NA
07-01-09,RAIPUR,Potato,NA
07-01-09,AHMEDABAD,Potato,NA
07-01-09,BHOPAL,Potato,NA
07-01-09,MUMBAI,Potato,NA
07-01-09,JAIPUR,Potato,NA
07-01-09,PATNA,Potato,NA
07-01-09,RANCHI,Potato,NA
07-01-09,BHUBANESHWAR,Potato,500
07-01-09,KOLKATA,Potato,NA
07-01-09,GUWAHATI,Potato,NA
07-01-09,SHILLONG,Potato,NA
07-01-09,AIZWAL,Potato,NA
07-01-09,KOHIMA,Potato,NA
07-01-09,AGARTALA,Potato,NA
07-01-09,BENGALURU,Potato,NA
07-01-09,T.PURAM,Potato,NA
07-01-09,CHENNAI,Potato,800
07-01-09,HYDERABAD,Potato,NA
09-01-09,CHANDIGARH,Potato,NA
09-01-09,DELHI,Potato,312
09-01-09,SHIMLA,Potato,NA
09-01-09,SRINAGAR,Potato,NA
09-01-09,JAMMU,Potato,NA
09-01-09,AMRITSAR,Potato,NA
09-01-09,LUDHIANA,Potato,NA
09-01-09,LUCKNOW,Potato,NA
09-01-09,DEHRADUN,Potato,NA
09-01-09,RAIPUR,Potato,NA
09-01-09,AHMEDABAD,Potato,NA
09-01-09,BHOPAL,Potato,NA
09-01-09,MUMBAI,Potato,NA
09-01-09,JAIPUR,Potato,NA
09-01-09,PATNA,Potato,NA
09-01-09,RANCHI,Potato,NA
09-01-09,BHUBANESHWAR,Potato,450
09-01-09,KOLKATA,Potato,NA
09-01-09,GUWAHATI,Potato,NA
09-01-09,SHILLONG,Potato,NA
09-01-09,AIZWAL,Potato,NA
09-01-09,KOHIMA,Potato,NA
09-01-09,AGARTALA,Potato,NA
09-01-09,BENGALURU,Potato,1200
09-01-09,T.PURAM,Potato,NA
09-01-09,CHENNAI,Potato,800
09-01-09,HYDERABAD,Potato,NA
12-01-09,CHANDIGARH,Potato,NA
12-01-09,DELHI,Potato,312
12-01-09,SHIMLA,Potato,NA
12-01-09,SRINAGAR,Potato,NA
12-01-09,JAMMU,Potato,NA
12-01-09,AMRITSAR,Potato,NA
12-01-09,LUDHIANA,Potato,NA
12-01-09,LUCKNOW,Potato,NA
12-01-09,DEHRADUN,Potato,NA
12-01-09,RAIPUR,Potato,NA
12-01-09,AHMEDABAD,Potato,NA
12-01-09,BHOPAL,Potato,NA
12-01-09,MUMBAI,Potato,NA
12-01-09,JAIPUR,Potato,NA
12-01-09,PATNA,Potato,NA
